,residue,split,target
13663,8ro1.6.62,train,"['0000353', '0005688']"
13664,8ro1.6.69,train,"['0000353', '0005688']"
13665,8ro1.6.17,train,"['0000353', '0005688']"
13666,8ro1.6.55,train,"['0000353', '0005688']"
13667,8ro1.6.51,train,"['0000353', '0005688']"
13668,8ro1.6.27,train,"['0000353', '0005688']"
13669,8ro1.6.33,train,"['0000353', '0005688']"
13670,8ro1.6.13,train,"['0000353', '0005688']"
13671,8ro1.6.8,train,"['0000353', '0005688']"
13672,8ro1.6.59,train,"['0000353', '0005688']"
13673,8ro1.6.28,train,"['0000353', '0005688']"
13674,8ro1.6.46,train,"['0000353', '0005688']"
13675,8ro1.6.71,train,"['0000353', '0005688']"
13676,8ro1.6.30,train,"['0000353', '0005688']"
13677,8ro1.6.23,train,"['0000353', '0005688']"
13678,8ro1.6.18,train,"['0000353', '0005688']"
13679,8ro1.6.48,train,"['0000353', '0005688']"
13680,8ro1.6.1,train,"['0000353', '0005688']"
13681,8ro1.6.53,train,"['0000353', '0005688']"
13682,8ro1.6.14,train,"['0000353', '0005688']"
13683,8ro1.6.44,train,"['0000353', '0005688']"
13684,8ro1.6.56,train,"['0000353', '0005688']"
13685,8ro1.6.92,train,"['0000353', '0005688']"
13686,8ro1.6.4,train,"['0000353', '0005688']"
13687,8ro1.6.54,train,"['0000353', '0005688']"
13688,8ro1.6.37,train,"['0000353', '0005688']"
13689,8ro1.6.6,train,"['0000353', '0005688']"
13690,8ro1.6.90,train,"['0000353', '0005688']"
13691,8ro1.6.97,train,"['0000353', '0005688']"
13692,8ro1.6.68,train,"['0000353', '0005688']"
13693,8ro1.6.50,train,"['0000353', '0005688']"
13694,8ro1.6.41,train,"['0000353', '0005688']"
13695,8ro1.6.80,train,"['0000353', '0005688']"
13696,8ro1.6.82,train,"['0000353', '0005688']"
13697,8ro1.6.67,train,"['0000353', '0005688']"
13698,8ro1.6.57,train,"['0000353', '0005688']"
13699,8ro1.6.98,train,"['0000353', '0005688']"
13700,8ro1.6.19,train,"['0000353', '0005688']"
13701,8ro1.6.25,train,"['0000353', '0005688']"
13702,8ro1.6.11,train,"['0000353', '0005688']"
13703,8ro1.6.77,train,"['0000353', '0005688']"
13704,8ro1.6.36,train,"['0000353', '0005688']"
13705,8ro1.6.26,train,"['0000353', '0005688']"
13706,8ro1.6.3,train,"['0000353', '0005688']"
13707,8ro1.6.99,train,"['0000353', '0005688']"
13708,8ro1.6.86,train,"['0000353', '0005688']"
13709,8ro1.6.81,train,"['0000353', '0005688']"
13710,8ro1.6.20,train,"['0000353', '0005688']"
13711,8ro1.6.63,train,"['0000353', '0005688']"
13712,8ro1.6.91,train,"['0000353', '0005688']"
13713,8ro1.6.43,train,"['0000353', '0005688']"
13714,8ro1.6.32,train,"['0000353', '0005688']"
13715,8ro1.6.72,train,"['0000353', '0005688']"
13716,8ro1.6.47,train,"['0000353', '0005688']"
13717,8ro1.6.29,train,"['0000353', '0005688']"
13718,7oqb.2.33,train,['0005686']
13719,7oqb.2.32,train,['0005686']
13720,7oqb.2.34,train,['0005686']
13721,7oqb.2.35,train,['0005686']
13722,7oqb.2.36,train,['0005686']
13723,7oqb.2.37,train,['0005686']
13724,7oqb.2.38,train,['0005686']
13725,7oqb.2.39,train,['0005686']
13726,7oqb.2.40,train,['0005686']
13727,7oqb.2.41,train,['0005686']
13728,7oqb.2.42,train,['0005686']
13729,7oqb.2.43,train,['0005686']
13730,7oqb.2.44,train,['0005686']
13731,7oqb.2.45,train,['0005686']
13732,7oqb.2.46,train,['0005686']
13733,7oqb.2.47,train,['0005686']
13734,7oqb.2.48,train,['0005686']
13735,7oqb.2.49,train,['0005686']
13736,7oqb.2.50,train,['0005686']
13737,7oqb.2.51,train,['0005686']
13738,7oqb.2.52,train,['0005686']
13739,7oqb.2.53,train,['0005686']
13740,7oqb.2.54,train,['0005686']
13741,7oqb.2.55,train,['0005686']
13742,7oqb.2.56,train,['0005686']
13743,7oqb.2.110,train,['0005686']
13744,7oqb.2.111,train,['0005686']
13745,7oqb.2.112,train,['0005686']
13746,7oqb.2.113,train,['0005686']
13747,7oqb.2.114,train,['0005686']
13748,7oqb.2.115,train,['0005686']
13749,7oqb.2.116,train,['0005686']
13750,7oqb.2.117,train,['0005686']
13751,7oqb.2.118,train,['0005686']
13752,7oqb.2.119,train,['0005686']
13753,7oqb.2.120,train,['0005686']
13754,7oqb.2.121,train,['0005686']
13755,7oqb.2.122,train,['0005686']
13756,7oqb.2.140,train,['0005686']
13757,7oqb.2.139,train,['0005686']
13758,7oqb.2.141,train,['0005686']
13759,7oqb.2.142,train,['0005686']
13760,7oqb.2.143,train,['0005686']
13761,7oqb.2.144,train,['0005686']
13762,7oqb.2.145,train,['0005686']
13763,7oqb.2.146,train,['0005686']
13764,7oqb.2.147,train,['0005686']
13765,7oqb.2.148,train,['0005686']
13766,7oqb.2.149,train,['0005686']
13767,7oqb.2.150,train,['0005686']
13768,7oqb.2.1091,train,['0005686']
13769,7oqb.2.1092,train,['0005686']
13770,7oqb.2.1093,train,['0005686']
13771,7oqb.2.1094,train,['0005686']
13772,7oqb.2.1095,train,['0005686']
13773,7oqb.2.1096,train,['0005686']
13774,7oqb.2.1097,train,['0005686']
13775,7oqb.2.1098,train,['0005686']
13776,7oqb.2.1099,train,['0005686']
13777,7oqb.2.1100,train,['0005686']
13778,7oqb.2.1101,train,['0005686']
13779,7oqb.2.1102,train,['0005686']
13780,7oqb.2.1103,train,['0005686']
13781,7oqb.2.1104,train,['0005686']
13782,7oqb.2.1105,train,['0005686']
13783,7oqb.2.1106,train,['0005686']
13784,7oqb.2.1107,train,['0005686']
13785,7oqb.2.1108,train,['0005686']
13786,7oqb.2.1116,train,['0005686']
13787,7oqb.2.1115,train,['0005686']
13788,7oqb.2.1117,train,['0005686']
13789,7oqb.2.1118,train,['0005686']
13790,7oqb.2.1119,train,['0005686']
13791,7oqb.2.1120,train,['0005686']
13792,7oqb.2.1121,train,['0005686']
13793,7oqb.2.1122,train,['0005686']
13794,7oqb.2.1123,train,['0005686']
13795,7oqb.2.1124,train,['0005686']
13796,7oqb.2.1125,train,['0005686']
13797,7oqb.2.1126,train,['0005686']
13798,7oqb.2.1127,train,['0005686']
13799,7oqb.2.1128,train,['0005686']
13800,7oqb.2.1129,train,['0005686']
13801,7oqb.2.1130,train,['0005686']
13802,7oqb.2.1139,train,['0005686']
13803,7oqb.2.1138,train,['0005686']
13804,7oqb.2.1140,train,['0005686']
13805,7oqb.2.1141,train,['0005686']
13806,7oqb.2.1142,train,['0005686']
13807,7oqb.2.1143,train,['0005686']
13808,7oqb.2.1144,train,['0005686']
13809,7oqb.2.1145,train,['0005686']
13810,7oqb.2.1146,train,['0005686']
13811,7oqb.2.1147,train,['0005686']
13812,7oqb.2.1148,train,['0005686']
13813,7oqb.2.1149,train,['0005686']
13814,7oqb.2.1150,train,['0005686']
13815,7oqb.2.1151,train,['0005686']
13816,7oqb.2.1152,train,['0005686']
13817,7oqb.2.1153,train,['0005686']
13818,7oqb.2.1154,train,['0005686']
13819,7oqb.2.1160,train,['0005686']
13820,7oqb.2.1159,train,['0005686']
13821,7oqb.2.1161,train,['0005686']
13822,7oqb.2.1162,train,['0005686']
13823,7oqb.2.1163,train,['0005686']
13824,7oqb.2.1164,train,['0005686']
13825,7oqb.2.1165,train,['0005686']
13826,7oqb.2.1166,train,['0005686']
13827,7oqb.2.1167,train,['0005686']
13828,7oqb.2.1168,train,['0005686']
13829,7oqb.2.1169,train,['0005686']
13830,8i0t.H.171,train,['0005686']
13831,8i0t.H.29,train,['0005686']
13832,8i0t.H.48,train,['0005686']
13833,8i0t.H.37,train,['0005686']
13834,8i0t.H.104,train,['0005686']
13835,8i0t.H.179,train,['0005686']
13836,8i0t.H.49,train,['0005686']
13837,8i0t.H.28,train,['0005686']
13838,8i0t.H.111,train,['0005686']
13839,8i0t.H.156,train,['0005686']
13840,8i0t.H.8,train,['0005686']
13841,8i0t.H.102,train,['0005686']
13842,8i0t.H.137,train,['0005686']
13843,8i0t.H.82,train,['0005686']
13844,8i0t.H.100,train,['0005686']
13845,8i0t.H.134,train,['0005686']
13846,8i0t.H.3,train,['0005686']
13847,8i0t.H.128,train,['0005686']
13848,8i0t.H.147,train,['0005686']
13849,8i0t.H.83,train,['0005686']
13850,8i0t.H.130,train,['0005686']
13851,8i0t.H.169,train,['0005686']
13852,8i0t.H.18,train,['0005686']
13853,8i0t.H.160,train,['0005686']
13854,8i0t.H.181,train,['0005686']
13855,8i0t.H.154,train,['0005686']
13856,8i0t.H.158,train,['0005686']
13857,8i0t.H.139,train,['0005686']
13858,8i0t.H.58,train,['0005686']
13859,8i0t.H.142,train,['0005686']
13860,8i0t.H.174,train,['0005686']
13861,8i0t.H.167,train,['0005686']
13862,8i0t.H.70,train,['0005686']
13863,8i0t.H.132,train,['0005686']
13864,8i0t.H.10,train,['0005686']
13865,8i0t.H.138,train,['0005686']
13866,8i0t.H.35,train,['0005686']
13867,8i0t.H.164,train,['0005686']
13868,8i0t.H.178,train,['0005686']
13869,8i0t.H.22,train,['0005686']
13870,8i0t.H.97,train,['0005686']
13871,8i0t.H.112,train,['0005686']
13872,8i0t.H.15,train,['0005686']
13873,8i0t.H.126,train,['0005686']
13874,8i0t.H.119,train,['0005686']
13875,8i0t.H.44,train,['0005686']
13876,8i0t.H.105,train,['0005686']
13877,8i0t.H.9,train,['0005686']
13878,8i0t.H.125,train,['0005686']
13879,8i0t.H.16,train,['0005686']
13880,8i0t.H.24,train,['0005686']
13881,8i0t.H.33,train,['0005686']
13882,8i0t.H.47,train,['0005686']
13883,8i0t.H.144,train,['0005686']
13884,8i0t.H.140,train,['0005686']
13885,8i0t.H.39,train,['0005686']
13886,8i0t.H.56,train,['0005686']
13887,8i0t.H.122,train,['0005686']
13888,8i0t.H.135,train,['0005686']
13889,8i0t.H.116,train,['0005686']
13890,8i0t.H.152,train,['0005686']
13891,8i0t.H.172,train,['0005686']
13892,8i0t.H.30,train,['0005686']
13893,8i0t.H.64,train,['0005686']
13894,8i0t.H.79,train,['0005686']
13895,8i0t.H.98,train,['0005686']
13896,8i0t.H.159,train,['0005686']
13897,8i0t.H.170,train,['0005686']
13898,8i0t.H.108,train,['0005686']
13899,8i0t.H.19,train,['0005686']
13900,8i0t.H.124,train,['0005686']
13901,8i0t.H.25,train,['0005686']
13902,8i0t.H.4,train,['0005686']
13903,8i0t.H.176,train,['0005686']
13904,8i0t.H.80,train,['0005686']
13905,8i0t.H.81,train,['0005686']
13906,8i0t.H.165,train,['0005686']
13907,8i0t.H.149,train,['0005686']
13908,8i0t.H.150,train,['0005686']
13909,8i0t.H.59,train,['0005686']
13910,8i0t.H.175,train,['0005686']
13911,8i0t.H.5,train,['0005686']
13912,8i0t.H.127,train,['0005686']
13913,8i0t.H.153,train,['0005686']
13914,8i0t.H.27,train,['0005686']
13915,8i0t.H.177,train,['0005686']
13916,8i0t.H.14,train,['0005686']
13917,8i0t.H.157,train,['0005686']
13918,8i0t.H.42,train,['0005686']
13919,8i0t.H.148,train,['0005686']
13920,8i0t.H.68,train,['0005686']
13921,8i0t.H.161,train,['0005686']
13922,8i0t.H.55,train,['0005686']
13923,8i0t.H.183,train,['0005686']
13924,8i0t.H.146,train,['0005686']
13925,8i0t.H.182,train,['0005686']
13926,8i0t.H.34,train,['0005686']
13927,8i0t.H.57,train,['0005686']
13928,8i0t.H.72,train,['0005686']
13929,8i0t.H.163,train,['0005686']
13930,8i0t.H.166,train,['0005686']
13931,8i0t.H.26,train,['0005686']
13932,8i0t.H.46,train,['0005686']
13933,8i0t.H.45,train,['0005686']
13934,8i0t.H.173,train,['0005686']
13935,8i0t.H.99,train,['0005686']
13936,8i0t.H.12,train,['0005686']
13937,8i0t.H.101,train,['0005686']
13938,8i0t.H.61,train,['0005686']
13939,8i0t.H.106,train,['0005686']
13940,8i0t.H.155,train,['0005686']
13941,8i0t.H.113,train,['0005686']
13942,8i0t.H.168,train,['0005686']
13943,8i0t.H.31,train,['0005686']
13944,8i0t.H.123,train,['0005686']
13945,8i0t.H.73,train,['0005686']
13946,8i0t.H.2,train,['0005686']
13947,8i0t.H.54,train,['0005686']
13948,8i0t.H.63,train,['0005686']
13949,8i0t.H.78,train,['0005686']
13950,8i0t.H.20,train,['0005686']
13951,8i0t.H.115,train,['0005686']
13952,8i0t.H.118,train,['0005686']
13953,8i0t.H.23,train,['0005686']
13954,8i0t.H.180,train,['0005686']
13955,8i0t.H.143,train,['0005686']
13956,8i0t.H.110,train,['0005686']
13957,8i0t.H.32,train,['0005686']
13958,8i0t.H.114,train,['0005686']
13959,8i0t.H.38,train,['0005686']
13960,8i0t.H.69,train,['0005686']
13961,8i0t.H.74,train,['0005686']
13962,8i0t.H.13,train,['0005686']
13963,8i0t.H.145,train,['0005686']
13964,8i0t.H.84,train,['0005686']
13965,8i0t.H.52,train,['0005686']
13966,8i0t.H.60,train,['0005686']
13967,8i0t.H.6,train,['0005686']
13968,8i0t.H.117,train,['0005686']
13969,8i0t.H.43,train,['0005686']
13970,8i0t.H.17,train,['0005686']
13971,8i0t.H.133,train,['0005686']
13972,8i0t.H.151,train,['0005686']
13973,8i0t.H.53,train,['0005686']
13974,8i0t.H.21,train,['0005686']
13975,8i0t.H.51,train,['0005686']
13976,8i0t.H.107,train,['0005686']
13977,8i0t.H.120,train,['0005686']
13978,8i0t.H.7,train,['0005686']
13979,8i0t.H.103,train,['0005686']
13980,8i0t.H.129,train,['0005686']
13981,8i0t.H.141,train,['0005686']
13982,8i0t.H.62,train,['0005686']
13983,8i0t.H.184,train,['0005686']
13984,8i0t.H.65,train,['0005686']
13985,8i0t.H.36,train,['0005686']
13986,8i0t.H.136,train,['0005686']
13987,8i0t.H.50,train,['0005686']
13988,8i0t.H.131,train,['0005686']
13989,8i0t.H.1,train,['0005686']
13990,8i0t.H.40,train,['0005686']
13991,8i0t.H.11,train,['0005686']
13992,8i0t.H.109,train,['0005686']
13993,8i0t.H.71,train,['0005686']
13994,8i0t.H.41,train,['0005686']
13995,8i0t.H.162,train,['0005686']
13996,8i0t.H.121,train,['0005686']
13997,8i0t.B.114,train,"['0000353', '0005682']"
13998,8i0t.B.95,train,"['0000353', '0005682']"
13999,8i0t.B.96,train,"['0000353', '0005682']"
14000,8i0t.B.56,train,"['0000353', '0005682']"
14001,8i0t.B.57,train,"['0000353', '0005682']"
14002,8i0t.B.55,train,"['0000353', '0005682']"
14003,8i0t.B.43,train,"['0000353', '0005682']"
14004,8i0t.B.115,train,"['0000353', '0005682']"
14005,8i0t.B.9,train,"['0000353', '0005682']"
14006,8i0t.B.51,train,"['0000353', '0005682']"
14007,8i0t.B.100,train,"['0000353', '0005682']"
14008,8i0t.B.112,train,"['0000353', '0005682']"
14009,8i0t.B.44,train,"['0000353', '0005682']"
14010,8i0t.B.110,train,"['0000353', '0005682']"
14011,8i0t.B.116,train,"['0000353', '0005682']"
14012,8i0t.B.107,train,"['0000353', '0005682']"
14013,8i0t.B.53,train,"['0000353', '0005682']"
14014,8i0t.B.99,train,"['0000353', '0005682']"
14015,8i0t.B.91,train,"['0000353', '0005682']"
14016,8i0t.B.92,train,"['0000353', '0005682']"
14017,8i0t.B.88,train,"['0000353', '0005682']"
14018,8i0t.B.104,train,"['0000353', '0005682']"
14019,8i0t.B.65,train,"['0000353', '0005682']"
14020,8i0t.B.16,train,"['0000353', '0005682']"
14021,8i0t.B.23,train,"['0000353', '0005682']"
14022,8i0t.B.25,train,"['0000353', '0005682']"
14023,8i0t.B.31,train,"['0000353', '0005682']"
14024,8i0t.B.87,train,"['0000353', '0005682']"
14025,8i0t.B.24,train,"['0000353', '0005682']"
14026,8i0t.B.66,train,"['0000353', '0005682']"
14027,8i0t.B.48,train,"['0000353', '0005682']"
14028,8i0t.B.45,train,"['0000353', '0005682']"
14029,8i0t.B.97,train,"['0000353', '0005682']"
14030,8i0t.B.58,train,"['0000353', '0005682']"
14031,8i0t.B.61,train,"['0000353', '0005682']"
14032,8i0t.B.28,train,"['0000353', '0005682']"
14033,8i0t.B.62,train,"['0000353', '0005682']"
14034,8i0t.B.18,train,"['0000353', '0005682']"
14035,8i0t.B.30,train,"['0000353', '0005682']"
14036,8i0t.B.40,train,"['0000353', '0005682']"
14037,8i0t.B.41,train,"['0000353', '0005682']"
14038,8i0t.B.35,train,"['0000353', '0005682']"
14039,8i0t.B.13,train,"['0000353', '0005682']"
14040,8i0t.B.49,train,"['0000353', '0005682']"
14041,8i0t.B.103,train,"['0000353', '0005682']"
14042,8i0t.B.67,train,"['0000353', '0005682']"
14043,8i0t.B.98,train,"['0000353', '0005682']"
14044,8i0t.B.63,train,"['0000353', '0005682']"
14045,8i0t.B.60,train,"['0000353', '0005682']"
14046,8i0t.B.47,train,"['0000353', '0005682']"
14047,8i0t.B.70,train,"['0000353', '0005682']"
14048,8i0t.B.22,train,"['0000353', '0005682']"
14049,8i0t.B.102,train,"['0000353', '0005682']"
14050,8i0t.B.113,train,"['0000353', '0005682']"
14051,8i0t.B.90,train,"['0000353', '0005682']"
14052,8i0t.B.106,train,"['0000353', '0005682']"
14053,8i0t.B.15,train,"['0000353', '0005682']"
14054,8i0t.B.34,train,"['0000353', '0005682']"
14055,8i0t.B.14,train,"['0000353', '0005682']"
14056,8i0t.B.42,train,"['0000353', '0005682']"
14057,8i0t.B.39,train,"['0000353', '0005682']"
14058,8i0t.B.117,train,"['0000353', '0005682']"
14059,8i0t.B.93,train,"['0000353', '0005682']"
14060,8i0t.B.26,train,"['0000353', '0005682']"
14061,8i0t.B.12,train,"['0000353', '0005682']"
14062,8i0t.B.50,train,"['0000353', '0005682']"
14063,8i0t.B.11,train,"['0000353', '0005682']"
14064,8i0t.B.54,train,"['0000353', '0005682']"
14065,8i0t.B.17,train,"['0000353', '0005682']"
14066,8i0t.B.71,train,"['0000353', '0005682']"
14067,8i0t.B.32,train,"['0000353', '0005682']"
14068,8i0t.B.20,train,"['0000353', '0005682']"
14069,8i0t.B.111,train,"['0000353', '0005682']"
14070,8i0t.B.59,train,"['0000353', '0005682']"
14071,8i0t.B.8,train,"['0000353', '0005682']"
14072,8i0t.B.10,train,"['0000353', '0005682']"
14073,8i0t.B.109,train,"['0000353', '0005682']"
14074,8i0t.B.108,train,"['0000353', '0005682']"
14075,8i0t.B.84,train,"['0000353', '0005682']"
14076,8i0t.B.21,train,"['0000353', '0005682']"
14077,8i0t.B.89,train,"['0000353', '0005682']"
14078,8i0t.B.27,train,"['0000353', '0005682']"
14079,8i0t.B.101,train,"['0000353', '0005682']"
14080,8i0t.B.36,train,"['0000353', '0005682']"
14081,8i0t.B.94,train,"['0000353', '0005682']"
14082,8i0t.B.85,train,"['0000353', '0005682']"
14083,8i0t.B.69,train,"['0000353', '0005682']"
14084,8i0t.B.105,train,"['0000353', '0005682']"
14085,8i0t.B.68,train,"['0000353', '0005682']"
14086,8i0t.B.52,train,"['0000353', '0005682']"
14087,8i0t.B.37,train,"['0000353', '0005682']"
14088,8i0t.B.38,train,"['0000353', '0005682']"
14089,8i0t.B.33,train,"['0000353', '0005682']"
14090,8i0t.B.19,train,"['0000353', '0005682']"
14091,8i0t.B.64,train,"['0000353', '0005682']"
14092,8i0t.B.86,train,"['0000353', '0005682']"
14093,8i0t.B.29,train,"['0000353', '0005682']"
14094,8i0t.B.46,train,"['0000353', '0005682']"
14095,8i0t.F.14,train,"['0000353', '0005688']"
14096,8i0t.F.94,train,"['0000353', '0005688']"
14097,8i0t.F.69,train,"['0000353', '0005688']"
14098,8i0t.F.81,train,"['0000353', '0005688']"
14099,8i0t.F.7,train,"['0000353', '0005688']"
14100,8i0t.F.18,train,"['0000353', '0005688']"
14101,8i0t.F.72,train,"['0000353', '0005688']"
14102,8i0t.F.50,train,"['0000353', '0005688']"
14103,8i0t.F.89,train,"['0000353', '0005688']"
14104,8i0t.F.3,train,"['0000353', '0005688']"
14105,8i0t.F.9,train,"['0000353', '0005688']"
14106,8i0t.F.59,train,"['0000353', '0005688']"
14107,8i0t.F.10,train,"['0000353', '0005688']"
14108,8i0t.F.29,train,"['0000353', '0005688']"
14109,8i0t.F.88,train,"['0000353', '0005688']"
14110,8i0t.F.76,train,"['0000353', '0005688']"
14111,8i0t.F.79,train,"['0000353', '0005688']"
14112,8i0t.F.25,train,"['0000353', '0005688']"
14113,8i0t.F.60,train,"['0000353', '0005688']"
14114,8i0t.F.44,train,"['0000353', '0005688']"
14115,8i0t.F.39,train,"['0000353', '0005688']"
14116,8i0t.F.45,train,"['0000353', '0005688']"
14117,8i0t.F.33,train,"['0000353', '0005688']"
14118,8i0t.F.13,train,"['0000353', '0005688']"
14119,8i0t.F.21,train,"['0000353', '0005688']"
14120,8i0t.F.75,train,"['0000353', '0005688']"
14121,8i0t.F.63,train,"['0000353', '0005688']"
14122,8i0t.F.62,train,"['0000353', '0005688']"
14123,8i0t.F.28,train,"['0000353', '0005688']"
14124,8i0t.F.43,train,"['0000353', '0005688']"
14125,8i0t.F.85,train,"['0000353', '0005688']"
14126,8i0t.F.49,train,"['0000353', '0005688']"
14127,8i0t.F.80,train,"['0000353', '0005688']"
14128,8i0t.F.19,train,"['0000353', '0005688']"
14129,8i0t.F.46,train,"['0000353', '0005688']"
14130,8i0t.F.11,train,"['0000353', '0005688']"
14131,8i0t.F.91,train,"['0000353', '0005688']"
14132,8i0t.F.24,train,"['0000353', '0005688']"
14133,8i0t.F.86,train,"['0000353', '0005688']"
14134,8i0t.F.68,train,"['0000353', '0005688']"
14135,8i0t.F.35,train,"['0000353', '0005688']"
14136,8i0t.F.61,train,"['0000353', '0005688']"
14137,8i0t.F.4,train,"['0000353', '0005688']"
14138,8i0t.F.74,train,"['0000353', '0005688']"
14139,8i0t.F.95,train,"['0000353', '0005688']"
14140,8i0t.F.22,train,"['0000353', '0005688']"
14141,8i0t.F.82,train,"['0000353', '0005688']"
14142,8i0t.F.64,train,"['0000353', '0005688']"
14143,8i0t.F.92,train,"['0000353', '0005688']"
14144,8i0t.F.12,train,"['0000353', '0005688']"
14145,8i0t.F.65,train,"['0000353', '0005688']"
14146,8i0t.F.84,train,"['0000353', '0005688']"
14147,8i0t.F.57,train,"['0000353', '0005688']"
14148,8i0t.F.90,train,"['0000353', '0005688']"
14149,8i0t.F.77,train,"['0000353', '0005688']"
14150,8i0t.F.47,train,"['0000353', '0005688']"
14151,8i0t.F.37,train,"['0000353', '0005688']"
14152,8i0t.F.78,train,"['0000353', '0005688']"
14153,8i0t.F.97,train,"['0000353', '0005688']"
14154,8i0t.F.66,train,"['0000353', '0005688']"
14155,8i0t.F.71,train,"['0000353', '0005688']"
14156,8i0t.F.42,train,"['0000353', '0005688']"
14157,8i0t.F.41,train,"['0000353', '0005688']"
14158,8i0t.F.32,train,"['0000353', '0005688']"
14159,8i0t.F.26,train,"['0000353', '0005688']"
14160,8i0t.F.8,train,"['0000353', '0005688']"
14161,8i0t.F.27,train,"['0000353', '0005688']"
14162,8i0t.F.20,train,"['0000353', '0005688']"
14163,8i0t.F.34,train,"['0000353', '0005688']"
14164,8i0t.F.17,train,"['0000353', '0005688']"
14165,8i0t.F.70,train,"['0000353', '0005688']"
14166,8i0t.F.30,train,"['0000353', '0005688']"
14167,8i0t.F.58,train,"['0000353', '0005688']"
14168,8i0t.F.93,train,"['0000353', '0005688']"
14169,8i0t.F.51,train,"['0000353', '0005688']"
14170,8i0t.F.96,train,"['0000353', '0005688']"
14171,8i0t.F.55,train,"['0000353', '0005688']"
14172,8i0t.F.36,train,"['0000353', '0005688']"
14173,8i0t.F.2,train,"['0000353', '0005688']"
14174,8i0t.F.83,train,"['0000353', '0005688']"
14175,8i0t.F.40,train,"['0000353', '0005688']"
14176,8i0t.F.87,train,"['0000353', '0005688']"
14177,8i0t.F.5,train,"['0000353', '0005688']"
14178,8i0t.F.38,train,"['0000353', '0005688']"
14179,8i0t.F.67,train,"['0000353', '0005688']"
14180,8i0t.F.15,train,"['0000353', '0005688']"
14181,8i0t.F.53,train,"['0000353', '0005688']"
14182,8i0t.F.48,train,"['0000353', '0005688']"
14183,8i0t.F.31,train,"['0000353', '0005688']"
14184,8i0t.F.6,train,"['0000353', '0005688']"
14185,8i0t.F.52,train,"['0000353', '0005688']"
14186,8i0t.F.23,train,"['0000353', '0005688']"
14187,8i0t.F.73,train,"['0000353', '0005688']"
14188,8i0t.F.54,train,"['0000353', '0005688']"
14189,8i0t.F.1,train,"['0000353', '0005688']"
14190,8i0t.F.16,train,"['0000353', '0005688']"
14191,8i0t.F.56,train,"['0000353', '0005688']"
14192,6y5q.2.13,train,['0005686']
14193,6y5q.2.12,train,['0005686']
14194,6y5q.2.14,train,['0005686']
14195,6y5q.2.20,train,['0005686']
14196,6y5q.2.19,train,['0005686']
14197,6y5q.2.21,train,['0005686']
14198,6y5q.2.22,train,['0005686']
14199,6y5q.2.23,train,['0005686']
14200,6y5q.2.24,train,['0005686']
14201,6y5q.2.25,train,['0005686']
14202,6y5q.2.26,train,['0005686']
14203,6y5q.2.27,train,['0005686']
14204,6y5q.2.28,train,['0005686']
14205,6y5q.2.29,train,['0005686']
14206,6y5q.2.30,train,['0005686']
14207,6y5q.2.31,train,['0005686']
14208,6y5q.2.32,train,['0005686']
14209,6y5q.2.33,train,['0005686']
14210,6y5q.2.34,train,['0005686']
14211,6y5q.2.35,train,['0005686']
14212,6y5q.2.36,train,['0005686']
14213,6y5q.2.37,train,['0005686']
14214,6y5q.2.38,train,['0005686']
14215,6y5q.2.39,train,['0005686']
14216,6y5q.2.40,train,['0005686']
14217,6y5q.2.41,train,['0005686']
14218,6y5q.2.42,train,['0005686']
14219,6y5q.2.43,train,['0005686']
14220,6y5q.2.44,train,['0005686']
14221,6y5q.2.45,train,['0005686']
14222,6y5q.2.46,train,['0005686']
14223,6y5q.2.47,train,['0005686']
14224,6y5q.2.48,train,['0005686']
14225,6y5q.2.49,train,['0005686']
14226,6y5q.2.50,train,['0005686']
14227,6y5q.2.51,train,['0005686']
14228,6y5q.2.52,train,['0005686']
14229,6y5q.2.53,train,['0005686']
14230,6y5q.2.54,train,['0005686']
14231,6y5q.2.55,train,['0005686']
14232,6y5q.2.56,train,['0005686']
14233,6y5q.2.57,train,['0005686']
14234,6y5q.2.58,train,['0005686']
14235,6y5q.2.59,train,['0005686']
14236,6y5q.2.60,train,['0005686']
14237,6y5q.2.61,train,['0005686']
14238,6y5q.2.62,train,['0005686']
14239,6y5q.2.63,train,['0005686']
14240,6y5q.2.64,train,['0005686']
14241,6y5q.2.65,train,['0005686']
14242,6y5q.2.70,train,['0005686']
14243,6y5q.2.69,train,['0005686']
14244,6y5q.2.71,train,['0005686']
14245,6y5q.2.72,train,['0005686']
14246,6y5q.2.73,train,['0005686']
14247,6y5q.2.82,train,['0005686']
14248,6y5q.2.81,train,['0005686']
14249,6y5q.2.83,train,['0005686']
14250,6y5q.2.84,train,['0005686']
14251,6y5q.2.85,train,['0005686']
14252,6y5q.2.98,train,['0005686']
14253,6y5q.2.97,train,['0005686']
14254,6y5q.2.99,train,['0005686']
14255,6y5q.2.100,train,['0005686']
14256,6y5q.2.101,train,['0005686']
14257,6y5q.2.102,train,['0005686']
14258,6y5q.2.103,train,['0005686']
14259,6y5q.2.104,train,['0005686']
14260,6y5q.2.105,train,['0005686']
14261,6y5q.2.106,train,['0005686']
14262,6y5q.2.107,train,['0005686']
14263,6y5q.2.108,train,['0005686']
14264,6y5q.2.109,train,['0005686']
14265,6y5q.2.110,train,['0005686']
14266,6y5q.2.111,train,['0005686']
14267,6y5q.2.112,train,['0005686']
14268,6y5q.2.113,train,['0005686']
14269,6y5q.2.114,train,['0005686']
14270,6y5q.2.115,train,['0005686']
14271,6y5q.2.116,train,['0005686']
